8360	"wait for food to be ready"
5810	"wait for the ordered food"
1680000	"count change"
7950000	"get the food"
1010000	"wait for order"
201	"get napkins and condiments"
181000	"Gather my order"
3920000	"pay for the food and drinks"
3710000	"pay for food"
10800	"collect utensils"
1240000	"go to counter"
39	"Walk into the reasturant"
534000	"recieve food"
82700	"pay at counter"
22400000	"pay the bill"
374000	"order french fries"
108000000	"place an order"
108000000	"order items from wall menu"
505000	"dispose of garbage"
448000	"find somewhere to sit"
5510	"order a bottle of coke"
118000000	"pick up order"
118000000	"then entering a  restaurant"
8050	"throw away the containers"
2640000	"consume food"
4650	"look at order number"
9510000000	"leave"
2020000	"clear tray"
2020000	"order non veg foods"
136000	"go to cashier"
136000	"give order to the employee"
301000000	"sit down"
3600000	"receive food"
494	"Give the worker money"
1460	"order a drumstick"
29000000	"move to a table"
103000000	"Drive away"
60600000	"I order it"
60600000	"Announce my order to worker"
3540000	"I decide what i want"
1900000	"decide on what to order"
1900000	"I drive up to the menu"
482000000	"look at the menu"
82100000	"walk to the counter"
82100000	"put away trays and trash"
162000	"then eat slowly"
148000	"return tray"
452000000	"place order"
93500	"order at counter"
28900000	"eat my food"
19600000	"eat in the car"
19600000	"take food tray to vacant table"
19600000	"dispense soda into cup"
212000	"look at menu"
232000000	"Pay for the food"
232000000	"place tray in stack"
232000000	"examine menu board"
6610	"Pick the items I want"
6630000000	"wait"
6130	"select a place to sit"
74400000	"Drive up to the window"
74400000	"tell cashier your order"
3470000	"leave store"
3470000	"take trash to receptacle"
12400000	"eat the food"
10500000	"Wait for my order"
57500	"walk into restaurant"
193000	"exit the place"
7460000	"order my food"
1480000	"Keep my receipt"
497000	"order a hamburger"
26	"receive food at counter"
753	"look at menu board"
5760000	"Seat at a table"
2320	"take food to table"
15900000	"Park car"
3150	"wait for number to be called"
3150	"swipe credit card in scanner"
36300000	"go inside"
5010000	"Eat at home"
556000	"put up credit card"
15500000	"and pay bill"
5260000	"stand off to the side"
5260000	"listen to cashier repeat order"
3080000	"go to table"
11800	"pick up condiments"
85	"pick up food when ready"
3510000000	"eat"
3150	"decide on food and drink"
871000	"dispose of trash"
871000	"go to ordering counter"
465000	"find the end of the line"
23900000	"wait in line"
9680000	"take your cup"
1050000	"sit down at table"
23300000	"check my pocket"
23300000	"receive tray with order"
79300000	"walk up to the counter"
342000000	"decide what you want"
1140	"Wait in line to order my food"
2880000	"go to restaurant"
2010000	"wait for food"
22400000	"get your drink"
114000000	"Get my order"
1860000	"find table"
1860000	"wait for order to be done"
14500000	"get in line"
13900000	"Stand in line"
1540000	"look at prices"
42500	"get condiments"
1140000	"enter restaurant"
19800000	"get fat"
117000000	"make payment"
9050000000	"pay"
9050000000	"proceed to front counter"
9050000000	"listen for total price"
1160000	"pay for order"
20400000	"order food"
23900000	"clean my hands"
13900000	"stand in line"
1620000	"except order"
8790000	"take a number"
8790000	"Confirm order and leave"
31500000	"decide what to eat"
1230000	"eat meal"
1260000	"take receipt"
24700000	"make selection"
27600000	"get food"
33900000	"eat food"
