				
	7150000	9510000000	'"leave"'	
	6760000	136000000	'"and done"'	
	2140000	9010000000	'"done"'	
	1500000	11200000	'"sign your name"'	
	603000	4810000	'"swipe card"'	
	367000	23700000	'"go to checkout"'	
	309000	13200000	'"get approval"'	
	137000	33900000	'"select item"'	
	134000	447000000	'"go to a store"'	
	52500	2140000	'"Check the numbers"'	
	46000	5020000	'"determine total"'	
	31200	1750000	'"wait for approval"'	
	29900	5910000	'"find object"'	
	28600	246000000	'"go to the register"'	
	22100	2730000	'"sign paper"'	
	20500	1660000	'"receive receipt"'	
	17500	1100000	'"sign the receipt"'	
	14300	1560000	'"find the right credit card"'	
	14100	21400	'"take reciept"'	
	13500	1260000	'"take receipt"'	
	9850	4960000	'"obtain credit card"'	
	9610	1040000	'"Finish the transaction"'	
	6260	1110000	'"provide card"'	
	5830	558000	'"find wallet"'	
	3310	4170000	'"get my receipt"'	
	3300	521000	'"get the card out"'	
	2470	3740	'"sign reciept"'	
	2250	155000	'"sign receipt"'	
	2250	155000	'"Sign receipt"'	
	2200	308000	'"wait for processing"'	
	1960	1250000	'"present it to the merchant"'	
	1760	7950000	'"Take out my wallet"'	
	1690	167000	'"confirm amount"'	
	1410	1930000	'"check payment amount"'	
	1360	219000000	'"Wait for the total"'	
	1290	26300	'"Take the credit card out"'	
	1240	110000	'"take out wallet"'	
	992	1590000	'"take out credit card"'	
	944	1180000	'"Show them my ID"'	
	763	10400	'"Give the expiration"'	
	604	28000	'"Sign the sales slip"'	
	390	115000	'"review purchase agreement"'	
	160	100	'"Take purchased item"'	'>100: 43/121'
	48	681	'"sign credit slip"'	
	48	1340	'"sign charge slip"'	
	42	2710	'"put card away"'	
	42	11400	'"put card up"'	
	32	474	'"put credit card back in wallet"'	
	32	1860	'"dig through purse"'	
	26	72500	'"put away card"'	
	21	34400	'"put my card in my wallet"'	
	21	180	'"give card to cashier"'	
	21	120	'"remove card from wallet"'	
	21	0	'"select card to use"'	
	20	6300	'"hand to cashier"'	
	19	157000	'"get credit card back"'	
	17	3280	'"wait to be rung up"'	
	16	1110	'"hand card to cashier"'	
	16	0	'"take back credit card"'	
	16	0	'"hand credit card to cashier"'	
	16	0	'"Hand credit card to cashier"'	
	14	2130	'"slide card through reader"'	
	13	6940	'"Put the card back in my wallet"'	
	13	3800	'"approach cashier"'	
	12	1370	'"have a photo ID handy"'	
	12	1150	'"leave with purchase"'	
	10	37	'"sign merchant copy"'	
	10	2980	'"ring order up"'	
	10	108	'"cashier hands it back to you"'	'>5: 69/121'
	5	0	'"wait for cashier to process"'	
	5	0	'"get card out of wallet"'	
	5	0	'"check reciept for errors"'	
	5	0	'"Hand the card to cashier"'	
	5	0	'"Get credit card from wallet"'	
	0	35	'"put receipt in bag"'	
	0	0	'"wait on cashier to run card"'	
	0	0	'"wait for them to work magic"'	
	0	0	'"try it on(if clothing)"'	
	0	0	'"teller runs card"'	
	0	0	'"teller hands you paper"'	
	0	0	'"teller give you item"'	
	0	0	'"take store receipt from cashier"'	
	0	0	'"take receipt and goods"'	
	0	0	'"take purchases and leave"'	
	0	0	'"take purchased goods and leave"'	
	0	0	'"take out credit card at cash"'	
	0	0	'"take customer receipt"'	
	0	0	'"take credit card from cashier"'	
	0	0	'"take charge slip from cashier"'	
	0	0	'"swipe credit card in scanner"'	
	0	0	'"swipe card where needed"'	
	0	0	'"small talk during approval"'	
	0	0	'"sign store copy of receipt"'	
	0	0	'"sign receipt when presented"'	
	0	0	'"sign electric pad"'	
	0	0	'"select credit on scan device"'	
	0	0	'"run hand card to teller"'	
	0	0	'"return slip to cashier"'	
	0	0	'"replace credit card in wallet"'	
	0	0	'"pull out wallet or pocketbook"'	
	0	0	'"present merchandice to clerk"'	
	0	0	'"locate credit card from wallet"'	
	0	0	'"if correct sign agreement"'	
	0	0	'"have cashier ring up item"'	
	0	0	'"give receipt back to cashier"'	
	0	0	'"give credit card to cashier"'	
	0	0	'"give cashier signed slip"'	
	0	0	'"enter zip code into scanner"'	
	0	0	'"clerk checks items"'	
	0	0	'"clerk announces total bill"'	
	0	0	'"cashier will swipe card"'	
	0	0	'"cashier generates receipt"'	
	0	0	'"bring items to checkout"'	
	0	0	'"Wait for a copy of receipt"'	
	0	0	'"Take copy from Cashier"'	
	0	0	'"Sign receipt from cashier"'	
	0	0	'"Read or type the CC numbers."'	
	0	0	'"Hand ID to cashier"'	
	0	0	'"Give the last 3 back digits"'	
	0	0	'"Get the card from my wallet"'	
	0	0	'"Get back my card and ID"'	'0: 47/121'
				
'tot'	19,452,686	19,705,610,845		
'av'	160,766	162,856,288		
