				
	4350000	27500000	'"get food"'	
	3000000	5080000000	'"walk"'	
	791000	22000000	'"buy food"'	
	695000	3520000	'"give water"'	
	410000	0	'"feed dpog"'	
	397000	4780000	'"feed dog"'	
	392000	2660000	'"feed dogs"'	
	324000	3570000	'"feed the dog"'	
	208000	6780000	'"dog eats"'	
	172000	1830000	'"prepare the food"'	
	143000	35200000	'"take out food"'	
	119000	6130000	'"take the food"'	
	80400	4650000	'"open the bag"'	
	76800	2240000	'"get a bowl"'	
	64900	2080000	'"open food"'	
	44600	254000	'"locate dog"'	
	40900	1740000	'"pet the dog"'	
	32100	1620000	'"pet a dog"'	
	30000	1850	'"call the dag"'	
	28600	1500000	'"call the dog"'	
	28400	551000	'"call dog"'	
	25200	1270000	'"locate food"'	
	22000	2310000	'"locate pet"'	
	18100	1260000	'"place in bowl"'	
	17500	474000	'"get bowl"'	
	10400	8940000	'"get dog food"'	
	8350	8910000	'"find dog food"'	
	7390	624000	'"scoop food"'	
	6560	637000	'"open the tin"'	
	3290	198000	'"measure the food"'	
	3170	3840000	'"get the dog food"'	
	2420	52800	'"call the dog over"'	
	2070	281000	'"open dog food"'	
	1170	8120	'"put bowl back"'	
	989	13700	'"place the dish on the floor"'	
	973	60000	'"sweep up crumbs"'	
	719	48200	'"scoop out the food"'	
	696	4740	'"tip the bag over"'	
	555	396000	'"give food to the dog"'	
	517	90500	'"take pet food"'	
	267	7220	'"open a bag of dog food"'	
	267	14500	'"pour the contents into the bowl"'	
	236	8530	'"put water in bowl"'	'>100: 43/139'
	48	14800	'"place a bowl on the ground"'	
	37	102000	'"find dog dish"'	
	37	0	'"take out food dish"'	
	32	74200	'"take out the dog food"'	
	26	1030	'"pour food in the bowl"'	
	24	50500	'"clean dog dish"'	
	24	10800	'"get a tin opener"'	
	21	796	'"get a tin of dog food"'	
	21	7110	'"put food in bowl"'	
	21	39100	'"take out dog food"'	
	21	0	'"open can of petfood"'	
	20	6620	'"find the canned food"'	
	17	505000	'"carry it to the bowl"'	
	16	9	'"pour some into the dish"'	
	16	7130	'"find the dry food"'	
	16	56100	'"identify dog food"'	
	16	0	'"put dog food in bowl"'	
	16	0	'"open dog food can"'	
	16	0	'"give food for the dog"'	
	14	1930	'"use the can opener to open the can"'	
	13	93100	'"find measuring cup"'	
	11	4360	'"dispose of empty can"'	
	11	4300	'"put dog food in a bowl"'	
	10	2570	'"open the dog food bag"'	
	10	213	'"pour it into the dog dish"'	
	10	1270	'"pour food into bowl"'	
	10	0	'"pour water into the water bowl"'	
	10	0	'"place bowl on the floor"'	'>5: 71/139 '
	5	77	'"put the food in container"'	
	5	495	'"put the tin in the bin"'	
	5	0	'"remove food from  pantry"'	
	5	0	'"put petfood in bowl"'	
	5	0	'"put food in dog s bowl"'	
	5	0	'"open up the dog food bag"'	
	5	0	'"go to dog bowl"'	
	5	0	'"find the dog s water bowl"'	
	5	0	'"catch the pet dog"'	
	0	88	'"put the dog food on a plate"'	
	0	859	'"pour it in the dog bowl"'	
	0	659	'"place food in dish"'	
	0	2	'"call the dog to come and eat"'	
	0	148	'"put the tin opener away"'	
	0	0	'"wait for the dog s meal time"'	
	0	0	'"than you poor it in the bowl"'	
	0	0	'"than you get it bowl"'	
	0	0	'"remove dog food from it s storage area"'	
	0	0	'"put water into the dog s water bowl"'	
	0	0	'"put the pet foods in a bowl"'	
	0	0	'"put the full food dish in front fo the dog"'	
	0	0	'"put the food in the dog dish"'	
	0	0	'"put the dog food into the dog bowl"'	
	0	0	'"put some dog food into the food bowl"'	
	0	0	'"put measured dog food in dog food bowl"'	
	0	0	'"put food tin in the bin"'	
	0	0	'"put food in pet dish"'	
	0	0	'"put food bag away"'	
	0	0	'"put dogs food in bowl"'	
	0	0	'"put dog food into the dog s food bowl"'	
	0	0	'"put dog food into dog food dish"'	
	0	0	'"put dog food in dogs bowl"'	
	0	0	'"put bag of food away"'	
	0	0	'"pour the dry food into the dog dish"'	
	0	0	'"pour specified quantity of dog food into dog dish"'	
	0	0	'"pour some dog food into the dish from the bag"'	
	0	0	'"pour food into dog s bowl"'	
	0	0	'"pour food into bowel"'	
	0	0	'"pour dog food into the dish until it is full"'	
	0	0	'"place the bowl near the dog"'	
	0	0	'"place some food into the food bowl"'	
	0	0	'"place dog food dish on the floor"'	
	0	0	'"place bows in the dog s usual meal spot"'	
	0	0	'"open dogs food"'	
	0	0	'"notify dog of food availability"'	
	0	0	'"measure the correct amount of dog food"'	
	0	0	'"measure out food into dish"'	
	0	0	'"look into pitiful hungry eyes"'	
	0	0	'"locate dogs bowl"'	
	0	0	'"identify dog dish"'	
	0	0	'"give bowl to pet"'	
	0	0	'"give bowl to dog"'	
	0	0	'"get the dog s food dish"'	
	0	0	'"get food from cupboard"'	
	0	0	'"get dogs bowl"'	
	0	0	'"get can of petfood"'	
	0	0	'"first you find the dog food"'	
	0	0	'"find the dog s food"'	
	0	0	'"find the dog s food bowl"'	
	0	0	'"fill food dish with dog food"'	
	0	0	'"ensure pet dog has access to the dish"'	
	0	0	'"encourage dog to eat food"'	
	0	0	'"carry the dog food to the dish"'	
	0	0	'"call the dog to where the plate is"'	
	0	0	'"call dog to bowl"'	
	0	0	'"and than you walk to the dog"'	
	0	0	'"alert dog that food is in dish"'	
	0	0	'"add water to the water bowl if it is not almost full"'	'0: 59 t'
				
'tot'	11,561,128	5,239,040,426		
'av'	83,174	37,690,938		
